<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCNY;D;20190214;000000;6.7597000;6.7768000;6.7571000;6.7700000;5115
USDCNY;D;20190215;000000;6.7710000;6.7813000;6.7633000;6.7679000;7019
USDCNY;D;20190216;000000;6.7680000;6.7680000;6.7679000;6.7679000;4
USDCNY;D;20190218;000000;6.7709000;6.7731000;6.7513000;6.7654000;6069
USDCNY;D;20190219;000000;6.7654000;6.7798000;6.7536000;6.7559000;4084
USDCNY;D;20190220;000000;6.7562000;6.7562000;6.7106000;6.7180000;5369
USDCNY;D;20190221;000000;6.7187000;6.7259000;6.6884000;6.7194000;4560
USDCNY;D;20190222;000000;6.7194000;6.7337000;6.7083000;6.7111000;4817
USDCNY;D;20190223;000000;6.7111000;6.7111000;6.7111000;6.7111000;2
USDCNY;D;20190224;000000;6.7111000;6.7111000;6.7111000;6.7111000;2
USDCNY;D;20190225;000000;6.7117000;6.7141000;6.6717000;6.6843000;7489
USDCNY;D;20190226;000000;6.6843000;6.7043000;6.6843000;6.6979000;6106
USDCNY;D;20190227;000000;6.6980000;6.7001000;6.6732000;6.6821000;5896
USDCNY;D;20190228;000000;6.6770000;6.6912000;6.6759000;6.6911000;5058
USDCNY;D;20190301;000000;6.6911000;6.7095000;6.6911000;6.7047000;5396
USDCNY;D;20190302;000000;6.7040000;6.7047000;6.7040000;6.7047000;6
USDCNY;D;20190303;000000;6.7047000;6.7047000;6.7047000;6.7047000;2
USDCNY;D;20190304;000000;6.7047000;6.7063000;6.6839000;6.7044000;5620
USDCNY;D;20190305;000000;6.7044000;6.7068000;6.6953000;6.7060000;7998
USDCNY;D;20190306;000000;6.7059000;6.7180000;6.7011000;6.7098000;5554
USDCNY;D;20190307;000000;6.7112000;6.7132000;6.7015000;6.7131000;3757
USDCNY;D;20190308;000000;6.7149000;6.7262000;6.7131000;6.7200000;5113
USDCNY;D;20190311;000000;6.7197000;6.7298000;6.7173000;6.7214000;4253
USDCNY;D;20190312;000000;6.7214000;6.7264000;6.7021000;6.7069000;3891
USDCNY;D;20190313;000000;6.7069000;6.7115000;6.7018000;6.7063000;3741
USDCNY;D;20190314;000000;6.7063000;6.7277000;6.7009000;6.7208000;2306
USDCNY;D;20190315;000000;6.7229000;6.7293000;6.7060000;6.7128000;4062
USDCNY;D;20190316;000000;6.7128000;6.7128000;6.7128000;6.7128000;2
USDCNY;D;20190317;000000;6.7128000;6.7128000;6.7128000;6.7128000;3
USDCNY;D;20190318;000000;6.7129000;6.7170000;6.7072000;6.7120000;4195
USDCNY;D;20190319;000000;6.7120000;6.7197000;6.7080000;6.7105000;4784
USDCNY;D;20190320;000000;6.7105000;6.7167000;6.6914000;6.6915000;4227
USDCNY;D;20190321;000000;6.6945000;6.6959000;6.6684000;6.6951000;4930
USDCNY;D;20190322;000000;6.6967000;6.7230000;6.6951000;6.7161000;5025
USDCNY;D;20190323;000000;6.7161000;6.7161000;6.7161000;6.7161000;1
USDCNY;D;20190324;000000;6.7161000;6.7161000;6.7161000;6.7161000;4
USDCNY;D;20190325;000000;6.7162000;6.7198000;6.7037000;6.7078000;3938
USDCNY;D;20190326;000000;6.7093000;6.7154000;6.7013000;6.7144000;4376
USDCNY;D;20190327;000000;6.7156000;6.7267000;6.7101000;6.7261000;5314
USDCNY;D;20190328;000000;6.7261000;6.7397000;6.7196000;6.7380000;5092
USDCNY;D;20190329;000000;6.7380000;6.7390000;6.7057000;6.7111000;5713
USDCNY;D;20190331;000000;6.7111000;6.7111000;6.7111000;6.7111000;2
USDCNY;D;20190401;000000;6.7112000;6.7130000;6.6989000;6.7101000;4056
USDCNY;D;20190402;000000;6.7114000;6.7242000;6.7114000;6.7220000;3829
USDCNY;D;20190403;000000;6.7232000;6.7232000;6.7036000;6.7097000;2414
USDCNY;D;20190404;000000;6.7113000;6.7199000;6.7057000;6.7166000;4005
USDCNY;D;20190405;000000;6.7173000;6.7181000;6.7162000;6.7180000;1074
USDCNY;D;20190408;000000;6.7167000;6.7211000;6.7103000;6.7157000;4704
USDCNY;D;20190409;000000;6.7163000;6.7187000;6.7070000;6.7100000;5491
USDCNY;D;20190410;000000;6.7118000;6.7180000;6.7091000;6.7152000;5603
USDCNY;D;20190411;000000;6.7159000;6.7190000;6.7096000;6.7188000;4130
USDCNY;D;20190412;000000;6.7193000;6.7229000;6.6983000;6.7038000;1792
USDCNY;D;20190413;000000;6.7038000;6.7038000;6.7038000;6.7038000;2
USDCNY;D;20190415;000000;6.7039000;6.7094000;6.7026000;6.7071000;2378
USDCNY;D;20190416;000000;6.7086000;6.7123000;6.7063000;6.7111000;1921
USDCNY;D;20190417;000000;6.7121000;6.7121000;6.6828000;6.6869000;6599
USDCNY;D;20190418;000000;6.6869000;6.7084000;6.6835000;6.7080000;6696
USDCNY;D;20190419;000000;6.7080000;6.7080000;6.6991000;6.7031000;4214
USDCNY;D;20190420;000000;6.7031000;6.7031000;6.7031000;6.7031000;1
USDCNY;D;20190421;000000;6.7031000;6.7031000;6.7031000;6.7031000;4
USDCNY;D;20190422;000000;6.7049000;6.7140000;6.7043000;6.7111000;3901
USDCNY;D;20190423;000000;6.7112000;6.7265000;6.7073000;6.7248000;5282
USDCNY;D;20190424;000000;6.7258000;6.7258000;6.7132000;6.7206000;5954
USDCNY;D;20190425;000000;6.7317000;6.7482000;6.7248000;6.7417000;6740
USDCNY;D;20190426;000000;6.7417000;6.7430000;6.7246000;6.7281000;7000
USDCNY;D;20190427;000000;6.7281000;6.7281000;6.7281000;6.7281000;1
USDCNY;D;20190428;000000;6.7282000;6.7297000;6.7281000;6.7281000;5
USDCNY;D;20190429;000000;6.7282000;6.7359000;6.7260000;6.7331000;5722
USDCNY;D;20190430;000000;6.7335000;6.7415000;6.7308000;6.7346000;5879
USDCNY;D;20190501;000000;6.7338000;6.7348000;6.7318000;6.7318000;1463
USDCNY;D;20190502;000000;6.7347000;6.7348000;6.7315000;6.7336000;1467
USDCNY;D;20190503;000000;6.7348000;6.7348000;6.7315000;6.7336000;1442
USDCNY;D;20190504;000000;6.7336000;6.7336000;6.7336000;6.7336000;2
USDCNY;D;20190505;000000;6.7347000;6.7348000;6.7336000;6.7336000;8
USDCNY;D;20190506;000000;6.7347000;6.7959000;6.7335000;6.7601000;6089
USDCNY;D;20190507;000000;6.7601000;6.7795000;6.7587000;6.7754000;4222
USDCNY;D;20190508;000000;6.7768000;6.7838000;6.7644000;6.7817000;6651
USDCNY;D;20190509;000000;6.7828000;6.8287000;6.7803000;6.8255000;6482
USDCNY;D;20190510;000000;6.8255000;6.8274000;6.7927000;6.8216000;7503
USDCNY;D;20190511;000000;6.8216000;6.8216000;6.8216000;6.8216000;2
USDCNY;D;20190512;000000;6.8216000;6.8240000;6.8216000;6.8216000;7
USDCNY;D;20190513;000000;6.8217000;6.8804000;6.8216000;6.8764000;3489
USDCNY;D;20190514;000000;6.8783000;6.8865000;6.8618000;6.8736000;6034
USDCNY;D;20190515;000000;6.8759000;6.8792000;6.8621000;6.8741000;5614
USDCNY;D;20190516;000000;6.8761000;6.8855000;6.8724000;6.8831000;6289
USDCNY;D;20190517;000000;6.8837000;6.9182000;6.8817000;6.9181000;6117
USDCNY;D;20190518;000000;6.9181000;6.9181000;6.9181000;6.9181000;2
USDCNY;D;20190519;000000;6.9182000;6.9186000;6.9181000;6.9181000;4
USDCNY;D;20190520;000000;6.9182000;6.9186000;6.8963000;6.9110000;5687
USDCNY;D;20190521;000000;6.9122000;6.9162000;6.8955000;6.9006000;6146
USDCNY;D;20190522;000000;6.9022000;6.9148000;6.8981000;6.9053000;4960
USDCNY;D;20190523;000000;6.9063000;6.9192000;6.9038000;6.9086000;5092
USDCNY;D;20190524;000000;6.9086000;6.9142000;6.8961000;6.8996000;5726
USDCNY;D;20190525;000000;6.8980000;6.8996000;6.8980000;6.8996000;2
USDCNY;D;20190526;000000;6.8997000;6.9002000;6.8996000;6.8996000;5
USDCNY;D;20190527;000000;6.8997000;6.9002000;6.8797000;6.8972000;4498
USDCNY;D;20190528;000000;6.8979000;6.9134000;6.8959000;6.9077000;5337
USDCNY;D;20190529;000000;6.9101000;6.9174000;6.9077000;6.9137000;4969
USDCNY;D;20190530;000000;6.9130000;6.9147000;6.8969000;6.9010000;4952
USDCNY;D;20190531;000000;6.9010000;6.9134000;6.8971000;6.9026000;5642
USDCNY;D;20190601;000000;6.9026000;6.9026000;6.9026000;6.9026000;4
USDCNY;D;20190602;000000;6.9026000;6.9049000;6.9026000;6.9026000;4
USDCNY;D;20190603;000000;6.9027000;6.9091000;6.8967000;6.9027000;5253
USDCNY;D;20190604;000000;6.9037000;6.9138000;6.8966000;6.9071000;5237
USDCNY;D;20190605;000000;6.9071000;6.9142000;6.9003000;6.9083000;5328
USDCNY;D;20190606;000000;6.9090000;6.9158000;6.9055000;6.9080000;3043
USDCNY;D;20190607;000000;6.9081000;6.9096000;6.9050000;6.9056000;1450
USDCNY;D;20190608;000000;6.9056000;6.9056000;6.9056000;6.9056000;1
USDCNY;D;20190609;000000;6.9056000;6.9096000;6.9056000;6.9056000;19
USDCNY;D;20190610;000000;6.9082000;6.9353000;6.9056000;6.9297000;4141
USDCNY;D;20190611;000000;6.9309000;6.9309000;6.9067000;6.9100000;5445
USDCNY;D;20190612;000000;6.9113000;6.9219000;6.9078000;6.9160000;4362
USDCNY;D;20190613;000000;6.9176000;6.9224000;6.9147000;6.9211000;4557
USDCNY;D;20190614;000000;6.9211000;6.9253000;6.9191000;6.9240000;5087
USDCNY;D;20190615;000000;6.9246000;6.9246000;6.9246000;6.9246000;2
USDCNY;D;20190616;000000;6.9246000;6.9246000;6.9246000;6.9246000;4
USDCNY;D;20190617;000000;6.9247000;6.9268000;6.9188000;6.9250000;3265
USDCNY;D;20190618;000000;6.9257000;6.9299000;6.9000000;6.9001000;3376
USDCNY;D;20190619;000000;6.9007000;6.9074000;6.8983000;6.8990000;3954
USDCNY;D;20190620;000000;6.8995000;6.9035000;6.8430000;6.8509000;3612
USDCNY;D;20190621;000000;6.8519000;6.8779000;6.8321000;6.8680000;3632
USDCNY;D;20190622;000000;6.8685000;6.8685000;6.8685000;6.8685000;1
USDCNY;D;20190624;000000;6.8687000;6.8823000;6.8627000;6.8719000;3182
USDCNY;D;20190625;000000;6.8719000;6.8844000;6.8647000;6.8790000;3343
USDCNY;D;20190626;000000;6.8797000;6.8918000;6.8637000;6.8780000;3854
