<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RUBUSD;D;20200621;000000;0.0143800;0.0143800;0.0142930;0.0143200;61
RUBUSD;D;20200622;000000;0.0143020;0.0144700;0.0143020;0.0144700;288
RUBUSD;D;20200623;000000;0.0144650;0.0145400;0.0143430;0.0145040;288
RUBUSD;D;20200624;000000;0.0145040;0.0145260;0.0143230;0.0143510;288
RUBUSD;D;20200625;000000;0.0143560;0.0144700;0.0143090;0.0144640;287
RUBUSD;D;20200626;000000;0.0144650;0.0144670;0.0142610;0.0142920;258
RUBUSD;D;20200628;000000;0.0142970;0.0143320;0.0142600;0.0143320;57
RUBUSD;D;20200629;000000;0.0142950;0.0143210;0.0141690;0.0142080;286
RUBUSD;D;20200630;000000;0.0142300;0.0142480;0.0139830;0.0140280;285
RUBUSD;D;20200701;000000;0.0140040;0.0141280;0.0139910;0.0141120;288
RUBUSD;D;20200702;000000;0.0141100;0.0142050;0.0140860;0.0141970;287
RUBUSD;D;20200703;000000;0.0141970;0.0142070;0.0139320;0.0139870;259
RUBUSD;D;20200705;000000;0.0139570;0.0139720;0.0139330;0.0139700;47
RUBUSD;D;20200706;000000;0.0139700;0.0140820;0.0138330;0.0138820;283
RUBUSD;D;20200707;000000;0.0138820;0.0140240;0.0137950;0.0139580;287
RUBUSD;D;20200708;000000;0.0139580;0.0140440;0.0139150;0.0139970;288
RUBUSD;D;20200709;000000;0.0139970;0.0141430;0.0139750;0.0140880;285
RUBUSD;D;20200710;000000;0.0140880;0.0141130;0.0139690;0.0140800;248
RUBUSD;D;20200712;000000;0.0140950;0.0141210;0.0140400;0.0141060;66
RUBUSD;D;20200713;000000;0.0141070;0.0141370;0.0140390;0.0140980;266
RUBUSD;D;20200714;000000;0.0140570;0.0140980;0.0139840;0.0140310;252
RUBUSD;D;20200715;000000;0.0140820;0.0141100;0.0140240;0.0140670;281
RUBUSD;D;20200716;000000;0.0140350;0.0141090;0.0139270;0.0139520;288
RUBUSD;D;20200717;000000;0.0139630;0.0139680;0.0138520;0.0138730;258
RUBUSD;D;20200719;000000;0.0138700;0.0139300;0.0138520;0.0138760;53
RUBUSD;D;20200720;000000;0.0138760;0.0140000;0.0138250;0.0140000;288
RUBUSD;D;20200721;000000;0.0139670;0.0141370;0.0139590;0.0141340;286
RUBUSD;D;20200722;000000;0.0140990;0.0141300;0.0139900;0.0140060;288
RUBUSD;D;20200723;000000;0.0140050;0.0140720;0.0139270;0.0139760;283
RUBUSD;D;20200724;000000;0.0139980;0.0140180;0.0138570;0.0139350;265
RUBUSD;D;20200726;000000;0.0139350;0.0139400;0.0138760;0.0138980;64
RUBUSD;D;20200727;000000;0.0138880;0.0139660;0.0138680;0.0139340;288
RUBUSD;D;20200728;000000;0.0139260;0.0139680;0.0137230;0.0137700;288
RUBUSD;D;20200729;000000;0.0137480;0.0138300;0.0136930;0.0137510;288
RUBUSD;D;20200730;000000;0.0137270;0.0137610;0.0135150;0.0135910;288
RUBUSD;D;20200731;000000;0.0135800;0.0136590;0.0133830;0.0134290;268
RUBUSD;D;20200802;000000;0.0134070;0.0135090;0.0134070;0.0134550;66
RUBUSD;D;20200803;000000;0.0135020;0.0136720;0.0133760;0.0136660;288
RUBUSD;D;20200804;000000;0.0136410;0.0136670;0.0134750;0.0135850;285
RUBUSD;D;20200805;000000;0.0135800;0.0137240;0.0135630;0.0136850;288
RUBUSD;D;20200806;000000;0.0136880;0.0137360;0.0134760;0.0136210;288
RUBUSD;D;20200807;000000;0.0136190;0.0136520;0.0134930;0.0135190;258
RUBUSD;D;20200809;000000;0.0135250;0.0135830;0.0134420;0.0135780;43
RUBUSD;D;20200810;000000;0.0135780;0.0136870;0.0134880;0.0135820;288
RUBUSD;D;20200811;000000;0.0135560;0.0137160;0.0135490;0.0136400;288
RUBUSD;D;20200812;000000;0.0136500;0.0136570;0.0135010;0.0135110;288
RUBUSD;D;20200813;000000;0.0135120;0.0137050;0.0135010;0.0136690;288
RUBUSD;D;20200814;000000;0.0136730;0.0136960;0.0135720;0.0136830;258
RUBUSD;D;20200816;000000;0.0136810;0.0136960;0.0136330;0.0136640;47
RUBUSD;D;20200817;000000;0.0136600;0.0136960;0.0135140;0.0135510;287
RUBUSD;D;20200818;000000;0.0135230;0.0136800;0.0135230;0.0136670;288
RUBUSD;D;20200819;000000;0.0136610;0.0136960;0.0135560;0.0136240;286
RUBUSD;D;20200820;000000;0.0136150;0.0136290;0.0134440;0.0134960;288
RUBUSD;D;20200821;000000;0.0134920;0.0135270;0.0132920;0.0133340;258
RUBUSD;D;20200823;000000;0.0133070;0.0133730;0.0133070;0.0133500;55
RUBUSD;D;20200824;000000;0.0133380;0.0134380;0.0133070;0.0134040;288
RUBUSD;D;20200825;000000;0.0133970;0.0134070;0.0131790;0.0132440;288
RUBUSD;D;20200826;000000;0.0132340;0.0132470;0.0131240;0.0132240;288
RUBUSD;D;20200827;000000;0.0131860;0.0133510;0.0131850;0.0132910;288
RUBUSD;D;20200828;000000;0.0132920;0.0134730;0.0132620;0.0134730;264
RUBUSD;D;20200830;000000;0.0134610;0.0134760;0.0133120;0.0134440;54
RUBUSD;D;20200831;000000;0.0134660;0.0135410;0.0133810;0.0134980;288
RUBUSD;D;20200901;000000;0.0135460;0.0135840;0.0134830;0.0135680;288
RUBUSD;D;20200902;000000;0.0135750;0.0135750;0.0131880;0.0132490;288
RUBUSD;D;20200903;000000;0.0132510;0.0133120;0.0131540;0.0132710;287
RUBUSD;D;20200904;000000;0.0132360;0.0133040;0.0131780;0.0132420;259
RUBUSD;D;20200906;000000;0.0132420;0.0132840;0.0132070;0.0132260;54
RUBUSD;D;20200907;000000;0.0132720;0.0132770;0.0130850;0.0131820;287
RUBUSD;D;20200908;000000;0.0131770;0.0131830;0.0130240;0.0130690;285
RUBUSD;D;20200909;000000;0.0130720;0.0132790;0.0130390;0.0132410;288
RUBUSD;D;20200910;000000;0.0132430;0.0133520;0.0131770;0.0132620;288
RUBUSD;D;20200911;000000;0.0132710;0.0133340;0.0132460;0.0133300;262
RUBUSD;D;20200913;000000;0.0132910;0.0133300;0.0132910;0.0133020;49
RUBUSD;D;20200914;000000;0.0133020;0.0133590;0.0132020;0.0132510;288
RUBUSD;D;20200915;000000;0.0132550;0.0133170;0.0132280;0.0133010;288
RUBUSD;D;20200916;000000;0.0133040;0.0133540;0.0132470;0.0133420;287
RUBUSD;D;20200917;000000;0.0133050;0.0133500;0.0132220;0.0133440;287
RUBUSD;D;20200918;000000;0.0132990;0.0133380;0.0131570;0.0131720;260
RUBUSD;D;20200920;000000;0.0131700;0.0132160;0.0131430;0.0132020;62
RUBUSD;D;20200921;000000;0.0132020;0.0132580;0.0130240;0.0131350;288
RUBUSD;D;20200922;000000;0.0131370;0.0131610;0.0130480;0.0131080;288
RUBUSD;D;20200923;000000;0.0131100;0.0131460;0.0129320;0.0129760;288
RUBUSD;D;20200924;000000;0.0129750;0.0130150;0.0128650;0.0129350;285
RUBUSD;D;20200925;000000;0.0129340;0.0130060;0.0127020;0.0127660;264
RUBUSD;D;20200927;000000;0.0127490;0.0127990;0.0127410;0.0127750;46
RUBUSD;D;20200928;000000;0.0127720;0.0127750;0.0125760;0.0126150;288
RUBUSD;D;20200929;000000;0.0125820;0.0127000;0.0124690;0.0126640;288
RUBUSD;D;20200930;000000;0.0126680;0.0128630;0.0125630;0.0128610;288
RUBUSD;D;20201001;000000;0.0128290;0.0129990;0.0128180;0.0129040;288
RUBUSD;D;20201002;000000;0.0129370;0.0129380;0.0126550;0.0127490;258
RUBUSD;D;20201004;000000;0.0127220;0.0127940;0.0127220;0.0127680;64
RUBUSD;D;20201005;000000;0.0127690;0.0128000;0.0126430;0.0127610;287
RUBUSD;D;20201006;000000;0.0127590;0.0128360;0.0126770;0.0127120;287
RUBUSD;D;20201007;000000;0.0127110;0.0128020;0.0127020;0.0127730;288
RUBUSD;D;20201008;000000;0.0127960;0.0129090;0.0127630;0.0128970;287
RUBUSD;D;20201009;000000;0.0128900;0.0130030;0.0128830;0.0130030;264
RUBUSD;D;20201011;000000;0.0129560;0.0130140;0.0129560;0.0130090;58
RUBUSD;D;20201012;000000;0.0129720;0.0130160;0.0129060;0.0129410;288
RUBUSD;D;20201013;000000;0.0129920;0.0129920;0.0128890;0.0129370;288
RUBUSD;D;20201014;000000;0.0129520;0.0129550;0.0128110;0.0128120;288
RUBUSD;D;20201015;000000;0.0128120;0.0128490;0.0127040;0.0127840;288
RUBUSD;D;20201016;000000;0.0127950;0.0128200;0.0127250;0.0128200;261
RUBUSD;D;20201018;000000;0.0128180;0.0128660;0.0127890;0.0128160;54
RUBUSD;D;20201019;000000;0.0128190;0.0128920;0.0127600;0.0128440;286
RUBUSD;D;20201020;000000;0.0128450;0.0129170;0.0127730;0.0128940;288
RUBUSD;D;20201021;000000;0.0129060;0.0130150;0.0128930;0.0129960;288
RUBUSD;D;20201022;000000;0.0129960;0.0130550;0.0128660;0.0130230;288
RUBUSD;D;20201023;000000;0.0130280;0.0130960;0.0129820;0.0130960;262
RUBUSD;D;20201025;000000;0.0130960;0.0131140;0.0130680;0.0130700;66
RUBUSD;D;20201026;000000;0.0130900;0.0131120;0.0130180;0.0130700;288
RUBUSD;D;20201027;000000;0.0130420;0.0130690;0.0128940;0.0129000;287
RUBUSD;D;20201028;000000;0.0129030;0.0129110;0.0125820;0.0126080;288
RUBUSD;D;20201029;000000;0.0126280;0.0126810;0.0125240;0.0126680;288
